Product Key,Product Code,Category Key,Product Category,Product Subcategory,Product Name,Product Cost,Product Colour,Product Size,Product Line,Product Class,Product Model,Product Description,Product Date,Product Status
1,AR-5381,NULL,NULL,NULL,Adjustable Race,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
2,BA-8327,NULL,NULL,NULL,Bearing Ball,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
3,BE-2349,NULL,NULL,NULL,BB Ball Bearing,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
4,BE-2908,NULL,NULL,NULL,Headset Ball Bearings,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
5,BL-2036,NULL,NULL,NULL,Blade,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
6,CA-5965,NULL,NULL,NULL,LL Crankarm,NULL,Black,NULL,NULL,"L ",NULL,NULL,2015-07-01 00:00:00.000,Current
7,CA-6738,NULL,NULL,NULL,ML Crankarm,NULL,Black,NULL,NULL,"M ",NULL,NULL,2015-07-01 00:00:00.000,Current
8,CA-7457,NULL,NULL,NULL,HL Crankarm,NULL,Black,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
9,CB-2903,NULL,NULL,NULL,Chainring Bolts,NULL,Silver,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
10,CN-6137,NULL,NULL,NULL,Chainring Nut,NULL,Silver,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
11,CR-7833,NULL,NULL,NULL,Chainring,NULL,Black,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
12,CR-9981,NULL,NULL,NULL,Crown Race,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
13,CS-2812,NULL,NULL,NULL,Chain Stays,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
14,DC-8732,NULL,NULL,NULL,Decal 1,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
15,DC-9824,NULL,NULL,NULL,Decal 2,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
16,DT-2377,NULL,NULL,NULL,Down Tube,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
17,EC-M092,NULL,NULL,NULL,Mountain End Caps,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
18,EC-R098,NULL,NULL,NULL,Road End Caps,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
19,EC-T209,NULL,NULL,NULL,Touring End Caps,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
20,FE-3760,NULL,NULL,NULL,Fork End,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
21,FH-2981,NULL,NULL,NULL,Freewheel,NULL,Silver,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
22,FW-1000,NULL,NULL,NULL,Flat Washer 1,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
23,FW-1200,NULL,NULL,NULL,Flat Washer 6,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
24,FW-1400,NULL,NULL,NULL,Flat Washer 2,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
25,FW-3400,NULL,NULL,NULL,Flat Washer 9,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
26,FW-3800,NULL,NULL,NULL,Flat Washer 4,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
27,FW-5160,NULL,NULL,NULL,Flat Washer 3,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
28,FW-5800,NULL,NULL,NULL,Flat Washer 8,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
29,FW-7160,NULL,NULL,NULL,Flat Washer 5,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
30,FW-9160,NULL,NULL,NULL,Flat Washer 7,NULL,NA,NULL,NULL,NULL,NULL,NULL,2015-07-01 00:00:00.000,Current
